City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
655,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
659,Saint-Georges,GD,79.09,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
660,Chiang Rai,TH,79.12,scattered clouds,19.9167,99.9167,Imsuk Homestay at Chiang Rai
664,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
665,Abu Kamal,SY,81.57,clear sky,34.4506,40.9171,البوكمال
671,Ashqelon,IL,75.09,clear sky,31.6693,34.5715,Leonardo Ashkelon
679,Kyaiklat,MM,78.78,overcast clouds,16.4333,95.7333,Phoe Khwar
682,Luohe,CN,82.45,overcast clouds,33.5717,114.0353,BNB 29-Tunxi Old Street Branch
683,Letpadan,MM,77.54,overcast clouds,17.7833,95.75,AUNG MYO KYAW
684,Hobyo,SO,77.41,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
685,Trinidad,BO,75.29,overcast clouds,-14.8333,-64.9,Hotel Piesta
687,San Pedro,PH,81.63,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
694,Najran,SA,83.05,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
697,Griffith,US,84.11,clear sky,41.5284,-87.4237,Apartment above Depot Bar
699,Aitape,PG,85.66,clear sky,-3.1374,142.3475,
702,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
703,Lumut,MY,75.22,scattered clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
